date,value
"2020-04-05",31
"2020-04-04",35
"2020-04-03",40
"2020-04-02",39
"2020-04-01",37
"2020-03-31",36
"2020-03-30",37
"2020-03-29",31
"2020-03-28",35
"2020-03-27",39
"2020-03-26",38
"2020-03-25",37
"2020-03-24",37
"2020-03-23",38
"2020-03-22",32
"2020-03-21",32
"2020-03-20",34
"2020-03-19",31
"2020-03-18",25
"2020-03-17",7
"2020-03-16",2
"2020-03-15",2
"2020-03-14",2
"2020-03-13",2
"2020-03-12",2
"2020-03-11",2
"2020-03-10",1
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",1
"2020-03-05",2
"2020-03-04",2
"2020-03-03",1
"2020-03-02",1
"2020-03-01",1
"2020-02-29",0
"2020-02-28",0
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",1
"2020-02-23",2
"2020-02-22",1
"2020-02-21",1
"2020-02-20",1
"2020-02-19",1
"2020-02-18",2
"2020-02-17",2
"2020-02-16",2
