date,value
"2020-04-11",84
"2020-04-10",128
"2020-04-09",83
"2020-04-08",77
"2020-04-07",66
"2020-04-06",89
"2020-04-05",69
"2020-04-04",58
"2020-04-03",8
"2020-04-02",-5
"2020-04-01",24
"2020-03-31",27
"2020-03-30",11
"2020-03-29",43
"2020-03-28",52
"2020-03-27",43
"2020-03-26",48
"2020-03-25",27
"2020-03-24",23
"2020-03-23",10
"2020-03-22",49
"2020-03-21",65
"2020-03-20",22
"2020-03-19",33
"2020-03-18",10
"2020-03-17",2
"2020-03-16",8
"2020-03-15",-7
"2020-03-14",33
"2020-03-13",20
"2020-03-12",-11
"2020-03-11",-1
"2020-03-10",6
"2020-03-09",6
"2020-03-08",4
"2020-03-07",17
"2020-03-06",30
"2020-03-05",17
"2020-03-04",3
"2020-03-03",1
"2020-03-02",7
"2020-03-01",4
"2020-02-29",-2
"2020-02-28",11
"2020-02-27",14
"2020-02-26",9
"2020-02-25",5
"2020-02-24",12
"2020-02-23",23
"2020-02-22",18
"2020-02-21",-5
"2020-02-20",19
"2020-02-19",2
"2020-02-18",25
"2020-02-17",12
"2020-02-16",-4
