date,value
"2020-04-05",17
"2020-04-04",24
"2020-04-03",36
"2020-04-02",34
"2020-04-01",31
"2020-03-31",33
"2020-03-30",33
"2020-03-29",18
"2020-03-28",24
"2020-03-27",37
"2020-03-26",34
"2020-03-25",32
"2020-03-24",34
"2020-03-23",32
"2020-03-22",20
"2020-03-21",23
"2020-03-20",34
"2020-03-19",33
"2020-03-18",30
"2020-03-17",25
"2020-03-16",16
"2020-03-15",7
"2020-03-14",4
"2020-03-13",4
"2020-03-12",2
"2020-03-11",1
"2020-03-10",2
"2020-03-09",2
"2020-03-08",1
"2020-03-07",1
"2020-03-06",2
"2020-03-05",3
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",0
"2020-02-28",2
"2020-02-27",4
"2020-02-26",4
"2020-02-25",3
"2020-02-24",3
"2020-02-23",2
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",3
"2020-02-19",2
"2020-02-18",2
"2020-02-17",3
"2020-02-16",3
